Relevance;Url;Title;02/21/2015;02/22/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015;04/01/2015;04/02/2015 A;04/03/2015 A
4;http://www.proctors.org/events/elf;ELF The Broadway Musical - Proctor's Theatre;0;13;0;0;0;1;5;17;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.cannibalonstage.com/;Trey Parker's Cannibal the Musical;0;9;0;5;12;15;10;0;5;16;0;0;0;13;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.blumenthalarts.org/events/detail/motown-the-musical;Motown The Musical | Blumenthal Performing Arts;0;7;10;3;0;0;0;4;10;17;0;3;2;17;6;15;15;13;12;12;10;13;0;0;0;0;0;14;12;0;0;0;7;0;0;0
4;http://matheatre.com/;Calculus: The Musical!;0;6;9;2;0;3;4;3;9;13;3;8;8;12;9;12;11;10;10;9;7;8;14;12;3;10;4;5;0;7;4;2;0;0;0;0
1;http://www.orpheum-memphis.com/events/detail/motown-the-musical;Motown The Musical - The Orpheum Theatre;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.theaddamsfamilymusical.com/;The Addams Family - The Broadway Musical | Official Site ...;0;3;6;0;2;9;12;5;8;12;4;9;5;9;8;7;30;30;31;31;29;30;30;30;29;32;32;31;30;34;34;33;9;28;0;0
1;http://www.strazcenter.org/Events/1415_Broadway/Motown_The_Musical.aspx;Motown The Musical - Straz Center for the Performing Arts;0;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://deadline.com/2015/02/hamilton-musical-broadway-premiere-date-1201380589/;SRO 'Hamilton' Musical Unveils Post-Tony Broadway ...;0;0;40;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.bbc.co.uk/news/entertainment-arts-31623810;BBC News - Carole King calls London tribute musical 'a ...;0;0;29;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;https://www.musicalchairs.info/jobs;Jobs - MusicalChairs;0;0;27;27;24;27;24;28;11;0;0;0;27;27;25;0;3;0;0;8;22;25;0;23;19;0;0;0;0;17;0;7;0;0;13;13
1;http://www.youtube.com/watch?v=uD2nOjV3AaI;Wheel of Musical Impressions with Christina Aguilera ...;0;0;21;11;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.independent.co.uk/arts-entertainment/theatre-dance/reviews/beautiful-the-carole-king-musical-aldwych-theatre--review-a-likeable-zestful-show-10067816.html;Beautiful: The Carole King Musical, Aldwych Theatre - review;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.nytimes.com/2014/09/17/theater/bull-durham-a-musical-adaptation-of-the-1988-movie.html;'Bull Durham,' a Musical Adaptation of the 1988 Movie ...;0;0;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.theguardian.com/stage/2015/feb/25/carole-king-west-end-musical-beautiful-aldwych-theatre;One fine night: Carole King makes surprise appearance at ...;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://oncemusical.com/tour/;Once The Musical Tour Tickets;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
